id,semester,slot_start_date,slot_end_date,location_ar,location_en,slots,type,show,display_order
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 57 - قاعة: 219,Building: 57 - Room: 219,20,ENGLISH_SPEAKING_TEST,1,620
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 57 - قاعة: 221,Building: 57 - Room: 221,20,ENGLISH_SPEAKING_TEST,1,630
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 57 - قاعة: 215,Building: 57 - Room: 215,20,ENGLISH_SPEAKING_TEST,1,640
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 57 - قاعة: 217,Building: 57 - Room: 217,20,ENGLISH_SPEAKING_TEST,1,650
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 23,Building: 58 - Room: 23,20,ENGLISH_SPEAKING_TEST,1,660
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 25,Building: 58 - Room: 25,20,ENGLISH_SPEAKING_TEST,1,670
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 27,Building: 58 - Room: 27,20,ENGLISH_SPEAKING_TEST,1,680
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 29,Building: 58 - Room: 29,20,ENGLISH_SPEAKING_TEST,1,690
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 31,Building: 58 - Room: 31,20,ENGLISH_SPEAKING_TEST,1,700
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 32,Building: 58 - Room: 32,20,ENGLISH_SPEAKING_TEST,1,710
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 33,Building: 58 - Room: 33,20,ENGLISH_SPEAKING_TEST,1,720
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 34,Building: 58 - Room: 34,20,ENGLISH_SPEAKING_TEST,1,730
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 35,Building: 58 - Room: 35,20,ENGLISH_SPEAKING_TEST,1,740
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 37,Building: 58 - Room: 37,20,ENGLISH_SPEAKING_TEST,1,750
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 39,Building: 58 - Room: 39,20,ENGLISH_SPEAKING_TEST,1,760
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 41,Building: 58 - Room: 41,20,ENGLISH_SPEAKING_TEST,1,770
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 43,Building: 58 - Room: 43,20,ENGLISH_SPEAKING_TEST,1,780
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 1037,Building: 58 - Room: 1037,20,ENGLISH_SPEAKING_TEST,1,790
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 1039,Building: 58 - Room: 1039,20,ENGLISH_SPEAKING_TEST,1,800
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 1045,Building: 58 - Room: 1045,20,ENGLISH_SPEAKING_TEST,1,810
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 1046,Building: 58 - Room: 1046,20,ENGLISH_SPEAKING_TEST,1,820
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 1047,Building: 58 - Room: 1047,20,ENGLISH_SPEAKING_TEST,1,830
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 1048,Building: 58 - Room: 1048,20,ENGLISH_SPEAKING_TEST,1,840
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 1049,Building: 58 - Room: 1049,20,ENGLISH_SPEAKING_TEST,1,850
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 1051,Building: 58 - Room: 1051,20,ENGLISH_SPEAKING_TEST,1,860
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 1053,Building: 58 - Room: 1053,20,ENGLISH_SPEAKING_TEST,1,870
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 1055,Building: 58 - Room: 1055,20,ENGLISH_SPEAKING_TEST,1,880
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 1057,Building: 58 - Room: 1057,20,ENGLISH_SPEAKING_TEST,1,890
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 1059,Building: 58 - Room: 1059,20,ENGLISH_SPEAKING_TEST,1,900
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 2041,Building: 58 - Room: 2041,20,ENGLISH_SPEAKING_TEST,1,910
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 2043,Building: 58 - Room: 2043,20,ENGLISH_SPEAKING_TEST,1,920
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 2047,Building: 58 - Room: 2047,20,ENGLISH_SPEAKING_TEST,1,930
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 2048,Building: 58 - Room: 2048,20,ENGLISH_SPEAKING_TEST,1,940
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 2049,Building: 58 - Room: 2049,20,ENGLISH_SPEAKING_TEST,1,950
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 2050,Building: 58 - Room: 2050,20,ENGLISH_SPEAKING_TEST,1,960
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 2051,Building: 58 - Room: 2051,20,ENGLISH_SPEAKING_TEST,1,970
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 2053,Building: 58 - Room: 2053,20,ENGLISH_SPEAKING_TEST,1,980
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 2057,Building: 58 - Room: 2057,20,ENGLISH_SPEAKING_TEST,1,990
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 2059,Building: 58 - Room: 2059,20,ENGLISH_SPEAKING_TEST,1,1000
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 2061,Building: 58 - Room: 2061,20,ENGLISH_SPEAKING_TEST,1,1010
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 2063,Building: 58 - Room: 2063,20,ENGLISH_SPEAKING_TEST,1,1020
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 3041,Building: 58 - Room: 3041,20,ENGLISH_SPEAKING_TEST,1,1030
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 3043,Building: 58 - Room: 3043,20,ENGLISH_SPEAKING_TEST,1,1040
